id,Name,Address,Location,Postal_code,Starred
119,"Rafferty Square Mobile Food Truck","44th Drive and Hunter Street","New York",NULL,FALSE
120,"Cafe Products Corp","Columbus Avenue and W. Street","New York",NULL,FALSE
121,"Hart Playground Mobile Food Truck","General Hart Playground","New York",NULL,FALSE
122,"Yellowstone Muni Playground Mobile Food Truck","Yellowstone Park","New York",NULL,FALSE
123,"Central Park Specialty Cart","East Drive and 63 Street","New York",NULL,FALSE
124,"Lt Corp Noonan Mobile Food Truck","Lt Corp. Noonan Playground","New York",NULL,FALSE
125,"Elmhurst Park Mobile Food Truck","Elmhurst Park","New York",NULL,FALSE
126,"PQR Pizza Food Cart","64th Street and 5th Avenue","New York",NULL,FALSE
127,"Memorial Field Mobile Food Truck","Flushing Fields","New York",NULL,FALSE
128,"Flushing Meadows Mobile Food Truck","Herbert Hoover Promenade and Avenue of Commerce","New York",NULL,FALSE
129,"Bloomingdale Park Mobile Food Truck","Bloomingdale Park","New York",NULL,FALSE
130,"Owl Hollow Park Mobile Food Truck","Owls Hollow Soccer Fields","New York",NULL,FALSE
131,"Central Park Specialty Food Cart","72nd Street and 5th Avenue","New York",NULL,FALSE
132,"UNLIMITED NUTS, INC.","EAST DRIVE AND EAST 79TH , PATH TO GREAT LAWN","New York",NULL,FALSE
133,"Midland Beach Mobile Food Truck","Parking Lot 2","New York",NULL,FALSE
134,"Hanover Square Specialty Carts","Hanover Square","New York",NULL,FALSE
135,"MUN TRADING COMPANY","NEAR THE ZOO ENTRANCE","New York",NULL,FALSE
136,"Midland Beach Mobile Food Truck","Parking Lot 9","New York",NULL,FALSE
137,"Midland Beach Mobile Food Truck","Fishing Pier at Parking Lot 6","New York",NULL,FALSE
138,"SALIM AHAMED","NORTH OF UNDERPASS NEAR TISCH CHILDREN'S ZOO","New York",NULL,FALSE
139,"Rice the Great Specialty Food Cart","Thomas Paine Park","New York",NULL,FALSE
140,"Clove Lakes Park Mobile Food Truck","Clove Lakes Park","New York",NULL,FALSE
141,"JANANI FOOD SERVICE, INC.","LITERARY WALK ACROSS FROM R. BURNS STATUE","New York",NULL,FALSE
142,"Conference House Park Mobile Food Trucks","Conference House Park","New York",NULL,FALSE
143,"MUHAMMAD T. ISLAM","EAST END OF OF THE GREAT LAWN, EAST 82 ST.","New York",NULL,FALSE
144,"Imagination Playground Specialty Food Cart","Imagination Playground","New York",NULL,FALSE
145,"JANANI FOOD SERVICES, INC.","SOUTHEND OF PATH LEADING TO HECKSCHER BLDG.","New York",NULL,FALSE
146,"Mohammad Matin","NORTHEND OF HECKSCHER PLAYGROUND, WEST 63 ST.","New York",NULL,FALSE
147,"King David Taco","26 Street and 5th Avenue","New York",NULL,FALSE
148,"PS 52 Mason Playground Mobile Food Truck","Dongan Playground","New York",NULL,FALSE
149,"INDULGE BISTRO CAFE, INC.","PATH LEDING INTO PARK BETWEEN WEST 106 AND W108 STS.","New York",NULL,FALSE
150,"Ciccarone Park Mobile Food Truck","Ciccarone Park","New York",NULL,FALSE
151,"JANANI FOOD SERVICES, INC.","WEST 109 ST & MALCOLM X, INSIDE PARK (AT FORK)","New York",NULL,FALSE
152,"T. Roosevelt Park Specialty Food Cart","West 81 Street and Central Park West","New York",NULL,FALSE
153,"Belmont Playground Mobile Food Trucks","Belmont Playground","New York",NULL,FALSE
154,"Nandita Inc.","Great Lawn, W81st  East Of Delacorte Theater","New York",NULL,FALSE
155,"Tremont Park Mobile Food Truck","Playground Entrance","New York",NULL,FALSE
156,"Battery Park Specialty Food Cart","Battery Place and Washington Street","New York",NULL,FALSE
157,"SHARMIN, INC.","GREAT LAWN, EAST OF WEST DRIVE AT 85 ST","New York",NULL,FALSE
158,"Soundview Park Mobile Food Trucks","Soundview Park","New York",NULL,FALSE
159,"Coney Island Food Cart","Brighton 2nd Playground","New York",NULL,FALSE
160,"Riverside Park Specialty Food Cart","West 83rd Street and Riverside Park","New York",NULL,FALSE
161,"Soundview Mobile Food Truck","Soundview Park","New York",NULL,FALSE
162,"Russell Pedersen Playground Food Cart","Russell Pedersen Playground","New York",NULL,FALSE
163,"Florence Colucci Playground Mobile Food Truck","Colucci Playground","New York",NULL,FALSE
164,"Callahan-Kelly Playground Breakfast Cart","Callahan-Kelly Playground","New York",NULL,FALSE
165,"Watson Park Mobile Food Trucks","Watson Gleason Playground","New York",NULL,FALSE
166,"Dyker Beach Park Food Cart","86th Street and 14th Avenue","New York",NULL,FALSE
167,"Mazzei Playground Trucks","Mazzei Playground","New York",NULL,FALSE
168,"Public Place Food Cart","ELDERT LANE B/W LIBERTY & GLENMORE","New York",NULL,FALSE
169,"Rodmans Neck Mobile Food Truck","Rodman's Neck","New York",NULL,FALSE
170,"Sunset Park Food Cart","Sunset Park","New York",NULL,FALSE
171,"Pugsley Park Mobile Food Truck","Pugsley Creek Park","New York",NULL,FALSE
172,"Rvierside Park Specialty Food Cart","West 101 Street and Riverside Park","New York",NULL,FALSE
173,"Central Park Food Cart","East Drive and 61 Street","New York",NULL,FALSE
174,"Woodlawn Memorial Mobile Food Truck","Woodlawn Playground","New York",NULL,FALSE
175,"Bowling Green Park Specialty Cart","Bowling Green Park","New York",NULL,FALSE
176,"Loeb Boathouse Restaurant","East 72nd Street & Park Drive North","New York",NULL,FALSE
177,"Central Park Food Cart","Central Park Mall Area","New York",NULL,FALSE
178,"Tavern on the Green","Central Park West & West 67th Street","New York",NULL,FALSE
179,"Dosa Specialty Food Cart","Washington Square and Thompson Place","New York",NULL,FALSE
180,"Maria Hernandez Park Food Cart","Maria Hernandez Park","New York",NULL,FALSE
181,"Central Park Food Cart","Central Park Mall near Bandshell","New York",NULL,FALSE
182,"Central Park Food Cart","Bethesda Fountain","New York",NULL,FALSE
183,"Central Park Food Cart","West Drive and 86 Street","New York",NULL,FALSE
